date,home_team,away_team,competition,neutral,home_confederation,away_confederation,home_fifa_rank,away_fifa_rank,tournament_stage,home_form_last5,away_form_last5,home_goals_for_last5,away_goals_for_last5,home_goals_against_last5,away_goals_against_last5,home_rest_days,away_rest_days,home_elo_pre,away_elo_pre,elo_diff_home_away,elo_win_prob,form_diff_home_away,goal_balance_diff,rank_diff,competition_weight,is_same_confederation,home_score,away_score,target,match_weight
2010-01-11,Côte d'Ivoire,Burkina Faso,African Cup of Nations,1,CAF,CAF,33,58,Unknown,3.0,1.5,1.5,1.0,0.0,1.0,4,7,1553.3958866886155,1500.0,53.39588668861552,0.576243528125521,1.5,1.5,-25,2,1,0,0,D,0.00361
2010-01-11,Malawi,Algeria,African Cup of Nations,1,CAF,CAF,93,44,Unknown,1.0,1.5,0.0,1.0,0.0,1.0,6,7,1500.0,1500.0,0.0,0.5,-0.5,0.0,49,2,1,3,0,H,0.00361
2010-01-12,Mozambique,Benin,African Cup of Nations,1,CAF,CAF,84,78,Unknown,0.0,3.0,0.0,1.0,2.0,0.0,6,6,1470.0,1514.3974000078847,-44.3974000078847,0.4364525237973058,-3.0,-3.0,6,2,1,2,2,D,0.003614
2010-01-12,Egypt,Nigeria,African Cup of Nations,1,CAF,CAF,42,35,Unknown,3.0,1.5,1.0,1.0,0.0,1.0,8,7,1520.3224836288127,1500.0,20.322483628812734,0.5292130958592932,1.5,1.0,7,2,1,3,1,H,0.003614
2010-01-13,Zambia,Tunisia,African Cup of Nations,1,CAF,CAF,87,48,Unknown,3.0,0.0,4.0,1.0,2.0,2.0,4,4,1530.0,1474.3974000078847,55.6025999921153,0.5793423582258207,3.0,3.0,39,2,1,1,1,D,0.003617
2010-01-13,Cameroon,Gabon,African Cup of Nations,1,CAF,CAF,47,75,Unknown,3.0,3.0,3.0,2.0,1.0,0.0,4,7,1538.4038999881732,1530.0,8.40389998817318,0.512091826147188,0.0,0.0,-28,2,1,0,1,A,0.003617
2010-01-14,Angola,Malawi,African Cup of Nations,0,CAF,CAF,75,93,Unknown,1.0,2.0,2.5,1.5,2.5,0.0,4,3,1493.6261635974859,1535.0,-41.373836402514144,0.583578091415086,-1.0,-1.5,-18,2,1,2,0,H,0.003621
2010-01-14,Mali,Algeria,African Cup of Nations,1,CAF,CAF,56,44,Unknown,0.6666666666666666,0.0,1.3333333333333333,0.0,1.6666666666666667,3.0,4,3,1491.6539527658167,1465.0,26.65395276581671,0.538283047441671,0.6666666666666666,2.6666666666666665,12,2,1,0,1,A,0.003621
2010-01-15,Côte d'Ivoire,Ghana,African Cup of Nations,1,CAF,CAF,33,43,Unknown,2.3333333333333335,1.0,1.0,0.0,0.0,0.0,4,10,1550.3461455635947,1500.0,50.346145563594746,0.5719510152516082,1.3333333333333335,1.0,-10,2,1,3,1,H,0.003624
2010-01-15,Yemen,Kenya,International Friendly,0,AFC,CAF,75,75,Unknown,0.0,0.0,1.0,1.0,2.0,3.0,9,6,1450.1790201677711,1461.5961000118268,-11.417079844055706,0.6247887234397926,0.0,1.0,0,1,0,3,1,H,0.003624
