model,accuracy,log_loss,brier_score,n_samples,precision_A,recall_A,f1_A,support_A,precision_D,recall_D,f1_D,support_D,precision_H,recall_H,f1_H,support_H,macro_precision,macro_recall,weighted_precision,weighted_recall,ece_A,ece_D,ece_H
most_frequent,0.4704,12.1954,1.0593,2345,0.0,0.0,0.0,684,0.0,0.0,0.0,558,0.4704,1.0,0.6398,1103,0.1568,0.3333,0.2212,0.4704,0.2917,0.238,0.5296
class_prior,0.4704,1.0559,0.6372,2345,0.0,0.0,0.0,684,0.0,0.0,0.0,558,0.4704,1.0,0.6398,1103,0.1568,0.3333,0.2212,0.4704,0.0019,0.0064,0.0083
elo_only,0.5731,0.9072,0.5348,2345,0.5449,0.674,0.6026,684,0.2944,0.1989,0.2374,558,0.6881,0.6999,0.6939,1103,0.5091,0.5243,0.5526,0.5731,0.0497,0.0973,0.0874
logreg,0.568,0.9049,0.5346,2345,0.5694,0.6301,0.5982,684,0.3034,0.3154,0.3093,558,0.7192,0.6573,0.6869,1103,0.5307,0.5343,0.5766,0.568,0.0362,0.0838,0.1021
xgboost,0.5957,0.8719,0.5123,2345,0.5511,0.6623,0.6016,684,0.3467,0.0466,0.0821,558,0.634,0.8323,0.7197,1103,0.5106,0.5137,0.5414,0.5957,0.0234,0.0473,0.0215
